CASE 1 (x1 = 1, x2 = 5):
     x1        x2    f(x1, x2)
 2.94521  15.1092      -14.3582
 2.91147  15.1431      -14.4263
 2.9612   15.1928      -14.4781
 2.92787  15.2262      -14.545
 2.97715  15.2757      -14.5963
 2.94416  15.3086      -14.6622
 2.99316  15.3582      -14.7132
 2.9604   15.3906      -14.7784
 3.00928  15.4406      -14.8292
 2.97665  15.4725      -14.894
 3.02556  15.5232      -14.9447
 2.99296  15.5547      -15.0094
 3.04206  15.6064      -15.0602
 3.0094   15.6375      -15.1251
 3.05881  15.6904      -15.1762
 3.02602  15.721       -15.2414
 3.07601  15.7757      -15.293
 3.04279  15.8061      -15.359
 3.09229  15.8604      -15.41
 3.05949  15.8903      -15.475
 3.10918  15.9456      -15.5262
 3.07638  15.9751      -15.5914
 3.12688  16.0326      -15.6434
 3.09354  16.0619      -15.7098
 3.1439   16.1199      -15.7616
 3.11079  16.1487      -15.8276
 3.16192  16.2088      -15.8803
 3.12835  16.2374      -15.9474
 3.17958  16.2984      -16.0001
 3.14595  16.3267      -16.0672
 3.19661  16.3872      -16.1192
 3.16348  16.4149      -16.1852
 3.21482  16.4775      -16.238
 3.18132  16.505       -16.305
 3.23289  16.5688      -16.358
 3.19928  16.596       -16.4252
 3.25064  16.66        -16.4779
 3.21735  16.6868      -16.5446
 3.27028  16.7547      -16.599
 3.23601  16.7814      -16.6683
 3.28847  16.849       -16.7221
 3.25467  16.8753      -16.7904
 3.3085   16.9465      -16.8458
 3.27405  16.9726      -16.9163
 3.33009  17.0493      -16.9741
 3.29443  17.0754      -17.0484
 3.35161  17.1555      -17.1075
 3.31547  17.1813      -17.1836
 3.37492  17.2672      -17.2453
 3.33762  17.293       -17.3253
 3.39884  17.3838      -17.389
 3.36063  17.4096      -17.472
 3.4219   17.5015      -17.5357
 3.38394  17.5268      -17.6185
 3.44921  17.6289      -17.6868
 3.40928  17.6544      -17.7768
 3.47882  17.7676      -17.85
 3.43689  17.7933      -17.9477
 3.51301  17.9235      -18.0283
 3.46789  17.9499      -18.1384
 3.54864  18.0931      -18.2242
 3.50154  18.1196      -18.3429
 3.59157  18.2877      -18.4389
 3.54015  18.3153      -18.5757
 3.63213  18.4909      -18.674
 3.58036  18.518       -18.814
 3.69056  18.7435      -18.9313
 3.63076  18.7727      -19.1086
 3.76664  19.0705      -19.2502
 3.69585  19.1028      -19.4827
 3.8335   19.4129      -19.6269
 3.76329  19.444       -19.8605
 3.94647  19.8886      -20.0413
 3.85809  19.925       -20.3773
 4.02785  20.3465      -20.5512
 3.94766  20.3788      -20.8483
 4.14991  20.9108      -21.0488
 4.05938  20.9452      -21.4133
